Name,Location,Category,CategoryJA,Address,Phone,Website,Notes
医学研究所北野病院,"34.7011, 135.5068",hospital,病院,大阪市北区扇町2-4-20,06-6312-1221,https://www.kitano-hp.or.jp,"総合病院, 救急対応"
大阪市立総合医療センター,"34.7075, 135.529",hospital,病院,大阪市都島区都島本通2-13-22,06-6929-1221,,"救急24時間, 高度医療"
西天満どんぐり公園（地震時避難場所）,"34.6913, 135.4999",evacuation,避難場所,大阪市北区西天満,,,地震時避難場所
西天満小学校（洪水・津波時避難場所）,"34.691, 135.497",evacuation,避難場所,大阪市北区西天満,,,洪水・津波時避難場所
中之島公園（大規模火災時避難場所）,"34.6937, 135.4988",evacuation,避難場所,大阪市北区中之島,,,大規模火災時避難場所
大阪駅前 帰宅困難者一時滞在施設,"34.7025, 135.4959",evacuation,避難場所,大阪市北区梅田3丁目,,,帰宅困難者対応
